"","2015","2015","2015","2014","2014","2014","2013","2013","2013","2012","2012","2012","2011","2011","2011","2010","2010","2010","2009","2009","2009","2008","2008","2008","2007","2007","2007","2006","2006","2006","2005","2005","2005","2004","2004","2004","2003","2003","2003","2002","2002","2002","2001","2001","2001","2000","2000","2000"
"","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)"
"Country","Rural","Urban","Total","Rural","Urban","Total","Rural","Urban","Total","Rural","Urban","Total","Rural","Urban","Total","Rural","Urban","Total","Rural","Urban","Total","Rural","Urban","Total","Rural","Urban","Total","Rural","Urban","Total","Rural","Urban","Total","Rural","Urban","Total","Rural","Urban","Total","Rural","Urban","Total","Rural","Urban","Total","Rural","Urban","Total"
"Afghanistan","29","64","38","29","64","38","29","64","38","29","64","38","29","64","38","29","64","38","29","64","37","29","64","37","29","64","37","29","64","37","29","64","37","","","","","","","","","","","","","","",""
"Algeria","73","88","84","73","88","83","73","88","83","73","88","83","73","88","83","73","88","83","73","88","83","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Angola","15","37","25","15","37","24","15","37","24","15","37","24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Armenia","77","93","87","77","93","87","77","93","87","77","93","87","76","93","87","75","93","87","74","93","86","73","93","86","73","93","86","72","93","86","71","93","85","70","93","85","69","94","85","68","94","84","67","94","84","66","94","84"
"Bangladesh","31","58","40","31","58","40","31","58","40","31","58","40","31","58","39","31","58","39","31","58","39","31","58","39","31","58","39","31","58","38","31","58","38","","","","","","","","","","","","","","",""
"Barbados","86","90","88","86","90","88","86","90","88","86","90","88","86","90","88","86","90","88","86","90","88","86","90","88","","","","","","","","","","","","","","","","","","","","","","","",""
"Belize","86","88","87","85","86","85","83","85","84","82","84","82","80","82","81","78","81","79","77","79","78","77","79","78","77","79","78","77","79","78","77","79","78","","","","","","","","","","","","","","",""
"Benin","6","16","10","5","15","9","5","14","9","4","13","8","4","12","7","4","11","7","3","11","6","3","10","6","2","9","5","2","8","4","1","7","4","1","6","3","1","5","2","0","4","2","0","4","1","0","3","1"
"Bhutan","","","","75","87","80","75","87","80","75","87","80","75","87","80","75","87","79","75","87","79","75","87","79","75","87","79","75","87","79","","","","","","","","","","","","","","","","","",""
"Bosnia and Herzegovina","96","98","97","96","98","97","96","98","97","96","98","97","96","98","97","96","98","97","96","98","97","96","98","97","","","","","","","","","","","","","","","","","","","","","","","",""
"Burkina Faso","7","23","12","7","23","11","7","23","11","7","23","11","6","23","11","6","23","10","5","23","10","5","23","9","4","23","9","4","23","8","3","23","8","3","23","7","2","23","7","2","23","6","1","23","6","1","23","5"
"Burundi","","","","4","24","6","4","24","6","4","24","6","4","24","6","4","24","6","4","24","6","4","24","6","4","24","6","4","24","6","","","","","","","","","","","","","","","","","",""
"Cambodia","60","88","66","60","88","66","60","88","65","60","88","65","60","88","65","60","88","65","60","88","65","60","88","65","","","","","","","","","","","","","","","","","","","","","","","",""
"Cameroon","1","4","3","1","4","3","1","4","3","1","4","3","1","4","3","1","4","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Central African Republic","","","","13","22","17","13","22","17","13","22","17","13","22","17","13","22","16","13","22","16","13","22","16","13","22","16","13","22","16","","","","","","","","","","","","","","","","","",""
"Chad","2","18","6","2","18","6","2","18","6","2","18","6","2","18","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Comoros","15","18","16","15","18","16","15","18","16","15","18","16","15","18","16","15","18","16","15","18","16","15","18","16","","","","","","","","","","","","","","","","","","","","","","","",""
"Costa Rica","83","84","84","83","84","84","83","84","84","83","84","84","83","84","84","83","84","84","83","84","84","83","84","84","83","84","84","","","","","","","","","","","","","","","","","","","","",""
"C̫te d'Ivoire","10","28","20","10","28","20","10","28","20","10","28","20","10","28","20","10","28","19","10","28","19","10","28","19","10","28","19","10","28","19","","","","","","","","","","","","","","","","","",""
"Cuba","76","88","85","76","88","85","76","88","85","76","88","85","76","88","85","76","88","85","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Democratic Republic of the Congo","2","7","4","2","7","4","2","7","4","2","7","4","2","7","4","2","7","4","2","7","4","2","7","4","2","7","4","2","7","4","2","7","4","2","7","4","","","","","","","","","","","",""
"Dominican Republic","42","58","55","42","58","55","42","58","55","42","58","54","42","58","54","42","58","54","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ecuador","76","91","85","76","91","85","76","91","85","76","91","85","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Egypt","85","92","88","83","92","87","81","92","85","78","91","84","76","91","82","74","90","81","72","90","79","69","89","78","67","89","77","65","89","75","62","88","74","60","88","72","58","87","71","56","87","69","53","87","68","51","86","66"
"El Salvador","86","92","90","86","92","90","86","92","90","86","92","90","86","92","90","86","92","90","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Equatorial Guinea","20","26","23","20","26","23","20","26","23","20","26","23","20","26","23","20","26","23","20","26","23","20","26","23","20","26","23","","","","","","","","","","","","","","","","","","","","",""
"Eswatini","17","48","23","17","48","23","17","48","23","17","48","23","17","48","23","17","48","23","17","48","23","17","48","23","17","48","24","17","48","24","17","48","24","17","48","24","","","","","","","","","","","",""
"Ethiopia","0","5","1","0","5","1","0","5","1","0","5","1","0","5","1","0","5","1","0","5","1","0","5","1","0","5","1","0","","","0","","","0","","","0","","","0","","","0","","","0","",""
"Gambia","1","12","8","1","12","8","1","12","8","1","12","8","1","12","7","1","12","7","1","12","7","1","12","7","1","12","7","1","12","7","1","12","7","1","12","7","","","","","","","","","","","",""
"Ghana","11","25","19","11","24","18","11","24","18","11","23","17","10","22","16","10","21","16","10","20","15","9","20","14","9","19","14","9","18","13","8","17","12","8","16","12","8","15","11","7","15","11","7","14","10","7","14","10"
"Guatemala","70","83","77","70","83","77","70","83","77","70","83","77","70","83","77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Guinea","7","12","9","7","12","9","7","12","9","7","12","9","7","12","9","7","12","9","7","12","9","7","12","9","7","12","9","7","12","9","","","","","","","","","","","","","","","","","",""
"Guinea-Bissau","5","9","7","5","9","7","5","9","7","5","9","7","5","9","7","5","9","6","5","9","6","5","9","6","5","9","6","5","9","6","5","9","6","5","9","6","","","","","","","","","","","",""
"Guyana","78","75","77","78","75","77","78","75","77","78","75","77","78","75","77","78","75","77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Haiti","17","31","26","17","31","25","17","31","25","17","31","25","17","31","25","17","31","25","17","31","24","17","31","24","","","","","","","","","","","","","","","","","","","","","","","",""
"Honduras","80","87","84","80","87","84","80","87","84","80","87","84","80","87","84","80","87","84","80","87","84","80","87","84","","","","","","","","","","","","","","","","","","","","","","","",""
"Indonesia","66","86","77","66","86","76","66","86","76","66","86","76","66","86","76","66","86","76","66","86","76","66","86","75","","","","","","","","","","","","","","","","","","","","","","","",""
"Iraq","81","95","91","81","95","91","81","95","91","81","95","91","81","95","91","81","95","91","81","95","91","81","95","91","81","95","91","","","","","","","","","","","","","","","","","","","","",""
"Jamaica","63","69","66","63","69","66","63","69","66","63","69","66","63","69","66","63","69","66","63","69","66","63","69","66","63","69","66","","","","","","","","","","","","","","","","","","","","",""
"Kazakhstan","97","96","96","97","96","96","97","96","96","97","96","96","97","96","96","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Kenya","10","26","14","10","26","14","10","26","14","10","26","14","10","26","14","10","26","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Kyrgyzstan","87","93","89","87","93","89","87","93","89","87","93","89","87","93","89","87","93","89","87","93","89","87","93","89","87","93","89","87","93","89","","","","","","","","","","","","","","","","","",""
"Lesotho","1","6","2","1","6","2","1","6","2","1","6","2","1","6","2","1","6","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Liberia","1","2","1","1","2","1","1","2","1","1","2","1","1","2","1","1","2","1","1","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Madagascar","40","69","51","40","69","50","40","69","50","40","69","50","40","69","50","35","64","45","31","58","39","26","53","34","21","47","29","16","42","24","11","36","18","6","31","13","2","25","8","0","20","5","0","20","5","0","20","5"
"Malawi","8","18","10","8","19","10","9","20","11","9","21","11","10","22","12","10","24","12","10","25","12","11","26","13","11","27","13","11","28","14","12","29","14","12","31","15","12","32","15","13","33","16","13","34","16","13","35","17"
"Mali","16","18","16","16","18","16","16","18","16","16","18","16","16","18","16","16","18","16","16","18","16","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mauritania","10","22","17","10","22","17","10","22","17","10","22","17","10","22","17","10","22","16","10","22","16","10","22","16","10","22","16","10","22","16","10","22","16","","","","","","","","","","","","","","",""
"Mexico","80","90","88","80","90","88","80","90","88","80","90","88","80","90","88","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mongolia","49","81","72","49","81","72","49","81","72","49","81","72","49","81","71","49","81","71","49","81","71","49","81","70","49","81","70","49","81","70","49","81","69","49","81","69","","","","","","","","","","","",""
"Mozambique","8","21","12","8","21","12","8","21","12","8","21","12","8","21","12","8","21","12","8","21","12","8","21","12","8","21","12","","","","","","","","","","","","","","","","","","","","",""
"Myanmar","74","92","80","74","92","80","74","92","80","74","92","80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Namibia","27","62","44","27","62","43","27","62","43","27","62","43","27","62","42","27","62","42","27","62","42","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Nepal","52","80","57","52","80","57","52","80","57","52","80","57","52","80","57","52","80","57","52","80","56","52","80","56","52","80","56","52","80","56","52","80","56","","","","","","","","","","","","","","",""
"Niger","","","","","","","","","","","","","","","","5","30","9","5","30","9","5","30","9","5","30","9","5","30","9","5","30","9","5","30","9","5","30","9","5","30","9","","","","","",""
"Nigeria","7","19","13","7","19","13","7","19","13","7","19","13","7","19","13","7","19","13","7","19","13","7","19","12","7","19","12","7","19","12","7","19","12","","","","","","","","","","","","","","",""
"Pakistan","46","83","60","46","83","60","46","83","60","46","83","60","46","83","60","46","83","60","46","83","60","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Republic of Moldova","82","93","87","82","93","87","82","93","87","82","93","87","82","93","87","82","93","87","82","93","87","82","93","87","","","","","","","","","","","","","","","","","","","","","","","",""
"Rwanda","2","13","5","2","12","5","2","12","5","2","12","5","2","11","4","2","11","4","2","11","4","1","10","3","1","10","3","1","9","3","1","9","3","1","9","2","1","8","2","0","8","2","0","8","1","0","7","1"
"Saint Lucia","87","88","87","87","88","87","87","88","87","87","88","87","87","88","87","87","88","87","87","88","87","87","88","87","","","","","","","","","","","","","","","","","","","","","","","",""
"Sao Tome and Principe","47","39","42","47","39","42","47","39","42","47","39","42","47","39","42","47","39","42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Senegal","10","23","15","10","23","15","10","23","15","10","23","15","10","23","15","10","23","15","10","23","15","10","23","15","10","23","15","10","23","15","10","23","15","","","","","","","","","","","","","","",""
"Serbia","","","","98","98","98","98","98","98","98","98","98","98","98","98","98","98","98","98","98","98","98","98","98","98","98","98","98","98","98","","","","","","","","","","","","","","","","","",""
"Sierra Leone","","","","9","19","13","9","19","13","9","19","13","9","19","13","9","19","13","9","19","13","9","19","13","9","19","13","9","19","13","","","","","","","","","","","","","","","","","",""
"Somalia","8","12","10","8","12","10","8","12","10","8","12","10","8","12","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sudan","19","32","23","19","32","23","19","32","23","19","32","23","19","32","23","19","32","23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Suriname","","","","55","74","68","55","74","68","55","74","68","55","74","68","55","74","68","55","74","68","55","74","68","55","74","68","55","74","68","","","","","","","","","","","","","","","","","",""
"Tajikistan","67","88","73","67","88","72","67","88","72","67","88","72","67","88","72","67","88","72","67","88","72","67","88","72","","","","","","","","","","","","","","","","","","","","","","","",""
"Togo","4","20","10","4","20","10","4","20","10","4","20","10","4","20","10","4","20","10","4","20","10","4","20","10","4","20","10","4","20","10","4","20","9","","","","","","","","","","","","","","",""
"Tunisia","67","96","86","67","96","86","67","96","86","67","96","86","67","96","86","67","96","86","67","96","86","67","96","86","","","","","","","","","","","","","","","","","","","","","","","",""
"Turkmenistan","97","99","98","94","98","96","92","96","94","89","95","92","87","94","91","85","93","89","82","92","87","80","91","85","77","90","83","75","89","82","73","88","80","70","87","78","68","86","76","65","85","74","63","84","73","61","83","71"
"Uganda","6","15","8","6","15","8","6","15","8","6","15","7","6","15","7","6","15","7","6","15","7","5","14","7","5","14","7","5","14","6","5","14","6","5","14","6","5","14","6","5","14","6","4","14","6","4","14","5"
"United Republic of Tanzania","40","63","48","40","63","47","40","63","47","40","63","47","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Viet Nam","82","93","86","82","93","86","82","93","86","82","93","85","82","93","85","82","93","85","82","93","85","82","93","85","82","93","85","82","93","85","82","93","85","","","","","","","","","","","","","","",""
"Yemen","38","71","49","38","71","49","38","71","49","38","71","48","38","71","48","38","71","48","38","71","48","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Zambia","5","26","14","5","26","13","5","26","13","5","26","13","5","26","13","5","26","13","5","26","13","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Zimbabwe","24","46","31","24","46","31","24","46","31","24","46","31","24","46","31","24","46","31","24","46","31","24","46","31","24","46","31","24","46","31","24","46","31","","","","","","","","","","","","","","",""
