,2015,2015,2015,2014,2014,2014,2013,2013,2013,2012,2012,2012,2011,2011,2011,2010,2010,2010,2009,2009,2009,2008,2008,2008,2007,2007,2007,2006,2006,2006,2005,2005,2005,2004,2004,2004,2003,2003,2003,2002,2002,2002,2001,2001,2001,2000,2000,2000
Country,Rural,Urban,Total,Rural,Urban,Total,Rural,Urban,Total,Rural,Urban,Total,Rural,Urban,Total,Rural,Urban,Total,Rural,Urban,Total,Rural,Urban,Total,Rural,Urban,Total,Rural,Urban,Total,Rural,Urban,Total,Rural,Urban,Total,Rural,Urban,Total,Rural,Urban,Total,Rural,Urban,Total,Rural,Urban,Total
Afghanistan,29.0,64.0,38.0,29.0,64.0,38.0,29.0,64.0,38.0,29.0,64.0,38.0,29.0,64.0,38.0,29.0,64.0,38.0,29.0,64.0,37.0,29.0,64.0,37.0,29.0,64.0,37.0,29.0,64.0,37.0,29.0,64.0,37.0,,,,,,,,,,,,,,,
Algeria,73.0,88.0,84.0,73.0,88.0,83.0,73.0,88.0,83.0,73.0,88.0,83.0,73.0,88.0,83.0,73.0,88.0,83.0,73.0,88.0,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,15.0,37.0,25.0,15.0,37.0,24.0,15.0,37.0,24.0,15.0,37.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,77.0,93.0,87.0,77.0,93.0,87.0,77.0,93.0,87.0,77.0,93.0,87.0,76.0,93.0,87.0,75.0,93.0,87.0,74.0,93.0,86.0,73.0,93.0,86.0,73.0,93.0,86.0,72.0,93.0,86.0,71.0,93.0,85.0,70.0,93.0,85.0,69.0,94.0,85.0,68.0,94.0,84.0,67.0,94.0,84.0,66.0,94.0,84.0
Bangladesh,31.0,58.0,40.0,31.0,58.0,40.0,31.0,58.0,40.0,31.0,58.0,40.0,31.0,58.0,39.0,31.0,58.0,39.0,31.0,58.0,39.0,31.0,58.0,39.0,31.0,58.0,39.0,31.0,58.0,38.0,31.0,58.0,38.0,,,,,,,,,,,,,,,
Barbados,86.0,90.0,88.0,86.0,90.0,88.0,86.0,90.0,88.0,86.0,90.0,88.0,86.0,90.0,88.0,86.0,90.0,88.0,86.0,90.0,88.0,86.0,90.0,88.0,,,,,,,,,,,,,,,,,,,,,,,,
Belize,86.0,88.0,87.0,85.0,86.0,85.0,83.0,85.0,84.0,82.0,84.0,82.0,80.0,82.0,81.0,78.0,81.0,79.0,77.0,79.0,78.0,77.0,79.0,78.0,77.0,79.0,78.0,77.0,79.0,78.0,77.0,79.0,78.0,,,,,,,,,,,,,,,
Benin,6.0,16.0,10.0,5.0,15.0,9.0,5.0,14.0,9.0,4.0,13.0,8.0,4.0,12.0,7.0,4.0,11.0,7.0,3.0,11.0,6.0,3.0,10.0,6.0,2.0,9.0,5.0,2.0,8.0,4.0,1.0,7.0,4.0,1.0,6.0,3.0,1.0,5.0,2.0,0.0,4.0,2.0,0.0,4.0,1.0,0.0,3.0,1.0
Bhutan,,,,75.0,87.0,80.0,75.0,87.0,80.0,75.0,87.0,80.0,75.0,87.0,80.0,75.0,87.0,79.0,75.0,87.0,79.0,75.0,87.0,79.0,75.0,87.0,79.0,75.0,87.0,79.0,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,96.0,98.0,97.0,96.0,98.0,97.0,96.0,98.0,97.0,96.0,98.0,97.0,96.0,98.0,97.0,96.0,98.0,97.0,96.0,98.0,97.0,96.0,98.0,97.0,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,7.0,23.0,12.0,7.0,23.0,11.0,7.0,23.0,11.0,7.0,23.0,11.0,6.0,23.0,11.0,6.0,23.0,10.0,5.0,23.0,10.0,5.0,23.0,9.0,4.0,23.0,9.0,4.0,23.0,8.0,3.0,23.0,8.0,3.0,23.0,7.0,2.0,23.0,7.0,2.0,23.0,6.0,1.0,23.0,6.0,1.0,23.0,5.0
Burundi,,,,4.0,24.0,6.0,4.0,24.0,6.0,4.0,24.0,6.0,4.0,24.0,6.0,4.0,24.0,6.0,4.0,24.0,6.0,4.0,24.0,6.0,4.0,24.0,6.0,4.0,24.0,6.0,,,,,,,,,,,,,,,,,,
Cambodia,60.0,88.0,66.0,60.0,88.0,66.0,60.0,88.0,65.0,60.0,88.0,65.0,60.0,88.0,65.0,60.0,88.0,65.0,60.0,88.0,65.0,60.0,88.0,65.0,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,1.0,4.0,3.0,1.0,4.0,3.0,1.0,4.0,3.0,1.0,4.0,3.0,1.0,4.0,3.0,1.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,,,,13.0,22.0,17.0,13.0,22.0,17.0,13.0,22.0,17.0,13.0,22.0,17.0,13.0,22.0,16.0,13.0,22.0,16.0,13.0,22.0,16.0,13.0,22.0,16.0,13.0,22.0,16.0,,,,,,,,,,,,,,,,,,
Chad,2.0,18.0,6.0,2.0,18.0,6.0,2.0,18.0,6.0,2.0,18.0,6.0,2.0,18.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comoros,15.0,18.0,16.0,15.0,18.0,16.0,15.0,18.0,16.0,15.0,18.0,16.0,15.0,18.0,16.0,15.0,18.0,16.0,15.0,18.0,16.0,15.0,18.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,83.0,84.0,84.0,83.0,84.0,84.0,83.0,84.0,84.0,83.0,84.0,84.0,83.0,84.0,84.0,83.0,84.0,84.0,83.0,84.0,84.0,83.0,84.0,84.0,83.0,84.0,84.0,,,,,,,,,,,,,,,,,,,,,
C̫te d'Ivoire,10.0,28.0,20.0,10.0,28.0,20.0,10.0,28.0,20.0,10.0,28.0,20.0,10.0,28.0,20.0,10.0,28.0,19.0,10.0,28.0,19.0,10.0,28.0,19.0,10.0,28.0,19.0,10.0,28.0,19.0,,,,,,,,,,,,,,,,,,
Cuba,76.0,88.0,85.0,76.0,88.0,85.0,76.0,88.0,85.0,76.0,88.0,85.0,76.0,88.0,85.0,76.0,88.0,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Democratic Republic of the Congo,2.0,7.0,4.0,2.0,7.0,4.0,2.0,7.0,4.0,2.0,7.0,4.0,2.0,7.0,4.0,2.0,7.0,4.0,2.0,7.0,4.0,2.0,7.0,4.0,2.0,7.0,4.0,2.0,7.0,4.0,2.0,7.0,4.0,2.0,7.0,4.0,,,,,,,,,,,,
Dominican Republic,42.0,58.0,55.0,42.0,58.0,55.0,42.0,58.0,55.0,42.0,58.0,54.0,42.0,58.0,54.0,42.0,58.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,76.0,91.0,85.0,76.0,91.0,85.0,76.0,91.0,85.0,76.0,91.0,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,85.0,92.0,88.0,83.0,92.0,87.0,81.0,92.0,85.0,78.0,91.0,84.0,76.0,91.0,82.0,74.0,90.0,81.0,72.0,90.0,79.0,69.0,89.0,78.0,67.0,89.0,77.0,65.0,89.0,75.0,62.0,88.0,74.0,60.0,88.0,72.0,58.0,87.0,71.0,56.0,87.0,69.0,53.0,87.0,68.0,51.0,86.0,66.0
El Salvador,86.0,92.0,90.0,86.0,92.0,90.0,86.0,92.0,90.0,86.0,92.0,90.0,86.0,92.0,90.0,86.0,92.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equatorial Guinea,20.0,26.0,23.0,20.0,26.0,23.0,20.0,26.0,23.0,20.0,26.0,23.0,20.0,26.0,23.0,20.0,26.0,23.0,20.0,26.0,23.0,20.0,26.0,23.0,20.0,26.0,23.0,,,,,,,,,,,,,,,,,,,,,
Eswatini,17.0,48.0,23.0,17.0,48.0,23.0,17.0,48.0,23.0,17.0,48.0,23.0,17.0,48.0,23.0,17.0,48.0,23.0,17.0,48.0,23.0,17.0,48.0,23.0,17.0,48.0,24.0,17.0,48.0,24.0,17.0,48.0,24.0,17.0,48.0,24.0,,,,,,,,,,,,
Ethiopia,0.0,5.0,1.0,0.0,5.0,1.0,0.0,5.0,1.0,0.0,5.0,1.0,0.0,5.0,1.0,0.0,5.0,1.0,0.0,5.0,1.0,0.0,5.0,1.0,0.0,5.0,1.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
Gambia,1.0,12.0,8.0,1.0,12.0,8.0,1.0,12.0,8.0,1.0,12.0,8.0,1.0,12.0,7.0,1.0,12.0,7.0,1.0,12.0,7.0,1.0,12.0,7.0,1.0,12.0,7.0,1.0,12.0,7.0,1.0,12.0,7.0,1.0,12.0,7.0,,,,,,,,,,,,
Ghana,11.0,25.0,19.0,11.0,24.0,18.0,11.0,24.0,18.0,11.0,23.0,17.0,10.0,22.0,16.0,10.0,21.0,16.0,10.0,20.0,15.0,9.0,20.0,14.0,9.0,19.0,14.0,9.0,18.0,13.0,8.0,17.0,12.0,8.0,16.0,12.0,8.0,15.0,11.0,7.0,15.0,11.0,7.0,14.0,10.0,7.0,14.0,10.0
Guatemala,70.0,83.0,77.0,70.0,83.0,77.0,70.0,83.0,77.0,70.0,83.0,77.0,70.0,83.0,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,7.0,12.0,9.0,7.0,12.0,9.0,7.0,12.0,9.0,7.0,12.0,9.0,7.0,12.0,9.0,7.0,12.0,9.0,7.0,12.0,9.0,7.0,12.0,9.0,7.0,12.0,9.0,7.0,12.0,9.0,,,,,,,,,,,,,,,,,,
Guinea-Bissau,5.0,9.0,7.0,5.0,9.0,7.0,5.0,9.0,7.0,5.0,9.0,7.0,5.0,9.0,7.0,5.0,9.0,6.0,5.0,9.0,6.0,5.0,9.0,6.0,5.0,9.0,6.0,5.0,9.0,6.0,5.0,9.0,6.0,5.0,9.0,6.0,,,,,,,,,,,,
Guyana,78.0,75.0,77.0,78.0,75.0,77.0,78.0,75.0,77.0,78.0,75.0,77.0,78.0,75.0,77.0,78.0,75.0,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haiti,17.0,31.0,26.0,17.0,31.0,25.0,17.0,31.0,25.0,17.0,31.0,25.0,17.0,31.0,25.0,17.0,31.0,25.0,17.0,31.0,24.0,17.0,31.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,80.0,87.0,84.0,80.0,87.0,84.0,80.0,87.0,84.0,80.0,87.0,84.0,80.0,87.0,84.0,80.0,87.0,84.0,80.0,87.0,84.0,80.0,87.0,84.0,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,66.0,86.0,77.0,66.0,86.0,76.0,66.0,86.0,76.0,66.0,86.0,76.0,66.0,86.0,76.0,66.0,86.0,76.0,66.0,86.0,76.0,66.0,86.0,75.0,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,81.0,95.0,91.0,81.0,95.0,91.0,81.0,95.0,91.0,81.0,95.0,91.0,81.0,95.0,91.0,81.0,95.0,91.0,81.0,95.0,91.0,81.0,95.0,91.0,81.0,95.0,91.0,,,,,,,,,,,,,,,,,,,,,
Jamaica,63.0,69.0,66.0,63.0,69.0,66.0,63.0,69.0,66.0,63.0,69.0,66.0,63.0,69.0,66.0,63.0,69.0,66.0,63.0,69.0,66.0,63.0,69.0,66.0,63.0,69.0,66.0,,,,,,,,,,,,,,,,,,,,,
Kazakhstan,97.0,96.0,96.0,97.0,96.0,96.0,97.0,96.0,96.0,97.0,96.0,96.0,97.0,96.0,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,10.0,26.0,14.0,10.0,26.0,14.0,10.0,26.0,14.0,10.0,26.0,14.0,10.0,26.0,14.0,10.0,26.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyrgyzstan,87.0,93.0,89.0,87.0,93.0,89.0,87.0,93.0,89.0,87.0,93.0,89.0,87.0,93.0,89.0,87.0,93.0,89.0,87.0,93.0,89.0,87.0,93.0,89.0,87.0,93.0,89.0,87.0,93.0,89.0,,,,,,,,,,,,,,,,,,
Lesotho,1.0,6.0,2.0,1.0,6.0,2.0,1.0,6.0,2.0,1.0,6.0,2.0,1.0,6.0,2.0,1.0,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberia,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madagascar,40.0,69.0,51.0,40.0,69.0,50.0,40.0,69.0,50.0,40.0,69.0,50.0,40.0,69.0,50.0,35.0,64.0,45.0,31.0,58.0,39.0,26.0,53.0,34.0,21.0,47.0,29.0,16.0,42.0,24.0,11.0,36.0,18.0,6.0,31.0,13.0,2.0,25.0,8.0,0.0,20.0,5.0,0.0,20.0,5.0,0.0,20.0,5.0
Malawi,8.0,18.0,10.0,8.0,19.0,10.0,9.0,20.0,11.0,9.0,21.0,11.0,10.0,22.0,12.0,10.0,24.0,12.0,10.0,25.0,12.0,11.0,26.0,13.0,11.0,27.0,13.0,11.0,28.0,14.0,12.0,29.0,14.0,12.0,31.0,15.0,12.0,32.0,15.0,13.0,33.0,16.0,13.0,34.0,16.0,13.0,35.0,17.0
Mali,16.0,18.0,16.0,16.0,18.0,16.0,16.0,18.0,16.0,16.0,18.0,16.0,16.0,18.0,16.0,16.0,18.0,16.0,16.0,18.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,10.0,22.0,17.0,10.0,22.0,17.0,10.0,22.0,17.0,10.0,22.0,17.0,10.0,22.0,17.0,10.0,22.0,16.0,10.0,22.0,16.0,10.0,22.0,16.0,10.0,22.0,16.0,10.0,22.0,16.0,10.0,22.0,16.0,,,,,,,,,,,,,,,
Mexico,80.0,90.0,88.0,80.0,90.0,88.0,80.0,90.0,88.0,80.0,90.0,88.0,80.0,90.0,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,49.0,81.0,72.0,49.0,81.0,72.0,49.0,81.0,72.0,49.0,81.0,72.0,49.0,81.0,71.0,49.0,81.0,71.0,49.0,81.0,71.0,49.0,81.0,70.0,49.0,81.0,70.0,49.0,81.0,70.0,49.0,81.0,69.0,49.0,81.0,69.0,,,,,,,,,,,,
Mozambique,8.0,21.0,12.0,8.0,21.0,12.0,8.0,21.0,12.0,8.0,21.0,12.0,8.0,21.0,12.0,8.0,21.0,12.0,8.0,21.0,12.0,8.0,21.0,12.0,8.0,21.0,12.0,,,,,,,,,,,,,,,,,,,,,
Myanmar,74.0,92.0,80.0,74.0,92.0,80.0,74.0,92.0,80.0,74.0,92.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Namibia,27.0,62.0,44.0,27.0,62.0,43.0,27.0,62.0,43.0,27.0,62.0,43.0,27.0,62.0,42.0,27.0,62.0,42.0,27.0,62.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,52.0,80.0,57.0,52.0,80.0,57.0,52.0,80.0,57.0,52.0,80.0,57.0,52.0,80.0,57.0,52.0,80.0,57.0,52.0,80.0,56.0,52.0,80.0,56.0,52.0,80.0,56.0,52.0,80.0,56.0,52.0,80.0,56.0,,,,,,,,,,,,,,,
Niger,,,,,,,,,,,,,,,,5.0,30.0,9.0,5.0,30.0,9.0,5.0,30.0,9.0,5.0,30.0,9.0,5.0,30.0,9.0,5.0,30.0,9.0,5.0,30.0,9.0,5.0,30.0,9.0,5.0,30.0,9.0,,,,,,
Nigeria,7.0,19.0,13.0,7.0,19.0,13.0,7.0,19.0,13.0,7.0,19.0,13.0,7.0,19.0,13.0,7.0,19.0,13.0,7.0,19.0,13.0,7.0,19.0,12.0,7.0,19.0,12.0,7.0,19.0,12.0,7.0,19.0,12.0,,,,,,,,,,,,,,,
Pakistan,46.0,83.0,60.0,46.0,83.0,60.0,46.0,83.0,60.0,46.0,83.0,60.0,46.0,83.0,60.0,46.0,83.0,60.0,46.0,83.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Republic of Moldova,82.0,93.0,87.0,82.0,93.0,87.0,82.0,93.0,87.0,82.0,93.0,87.0,82.0,93.0,87.0,82.0,93.0,87.0,82.0,93.0,87.0,82.0,93.0,87.0,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,2.0,13.0,5.0,2.0,12.0,5.0,2.0,12.0,5.0,2.0,12.0,5.0,2.0,11.0,4.0,2.0,11.0,4.0,2.0,11.0,4.0,1.0,10.0,3.0,1.0,10.0,3.0,1.0,9.0,3.0,1.0,9.0,3.0,1.0,9.0,2.0,1.0,8.0,2.0,0.0,8.0,2.0,0.0,8.0,1.0,0.0,7.0,1.0
Saint Lucia,87.0,88.0,87.0,87.0,88.0,87.0,87.0,88.0,87.0,87.0,88.0,87.0,87.0,88.0,87.0,87.0,88.0,87.0,87.0,88.0,87.0,87.0,88.0,87.0,,,,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,47.0,39.0,42.0,47.0,39.0,42.0,47.0,39.0,42.0,47.0,39.0,42.0,47.0,39.0,42.0,47.0,39.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senegal,10.0,23.0,15.0,10.0,23.0,15.0,10.0,23.0,15.0,10.0,23.0,15.0,10.0,23.0,15.0,10.0,23.0,15.0,10.0,23.0,15.0,10.0,23.0,15.0,10.0,23.0,15.0,10.0,23.0,15.0,10.0,23.0,15.0,,,,,,,,,,,,,,,
Serbia,,,,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,,,,,,,,,,,,,,,,,,
Sierra Leone,,,,9.0,19.0,13.0,9.0,19.0,13.0,9.0,19.0,13.0,9.0,19.0,13.0,9.0,19.0,13.0,9.0,19.0,13.0,9.0,19.0,13.0,9.0,19.0,13.0,9.0,19.0,13.0,,,,,,,,,,,,,,,,,,
Somalia,8.0,12.0,10.0,8.0,12.0,10.0,8.0,12.0,10.0,8.0,12.0,10.0,8.0,12.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,19.0,32.0,23.0,19.0,32.0,23.0,19.0,32.0,23.0,19.0,32.0,23.0,19.0,32.0,23.0,19.0,32.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suriname,,,,55.0,74.0,68.0,55.0,74.0,68.0,55.0,74.0,68.0,55.0,74.0,68.0,55.0,74.0,68.0,55.0,74.0,68.0,55.0,74.0,68.0,55.0,74.0,68.0,55.0,74.0,68.0,,,,,,,,,,,,,,,,,,
Tajikistan,67.0,88.0,73.0,67.0,88.0,72.0,67.0,88.0,72.0,67.0,88.0,72.0,67.0,88.0,72.0,67.0,88.0,72.0,67.0,88.0,72.0,67.0,88.0,72.0,,,,,,,,,,,,,,,,,,,,,,,,
Togo,4.0,20.0,10.0,4.0,20.0,10.0,4.0,20.0,10.0,4.0,20.0,10.0,4.0,20.0,10.0,4.0,20.0,10.0,4.0,20.0,10.0,4.0,20.0,10.0,4.0,20.0,10.0,4.0,20.0,10.0,4.0,20.0,9.0,,,,,,,,,,,,,,,
Tunisia,67.0,96.0,86.0,67.0,96.0,86.0,67.0,96.0,86.0,67.0,96.0,86.0,67.0,96.0,86.0,67.0,96.0,86.0,67.0,96.0,86.0,67.0,96.0,86.0,,,,,,,,,,,,,,,,,,,,,,,,
Turkmenistan,97.0,99.0,98.0,94.0,98.0,96.0,92.0,96.0,94.0,89.0,95.0,92.0,87.0,94.0,91.0,85.0,93.0,89.0,82.0,92.0,87.0,80.0,91.0,85.0,77.0,90.0,83.0,75.0,89.0,82.0,73.0,88.0,80.0,70.0,87.0,78.0,68.0,86.0,76.0,65.0,85.0,74.0,63.0,84.0,73.0,61.0,83.0,71.0
Uganda,6.0,15.0,8.0,6.0,15.0,8.0,6.0,15.0,8.0,6.0,15.0,7.0,6.0,15.0,7.0,6.0,15.0,7.0,6.0,15.0,7.0,5.0,14.0,7.0,5.0,14.0,7.0,5.0,14.0,6.0,5.0,14.0,6.0,5.0,14.0,6.0,5.0,14.0,6.0,5.0,14.0,6.0,4.0,14.0,6.0,4.0,14.0,5.0
United Republic of Tanzania,40.0,63.0,48.0,40.0,63.0,47.0,40.0,63.0,47.0,40.0,63.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viet Nam,82.0,93.0,86.0,82.0,93.0,86.0,82.0,93.0,86.0,82.0,93.0,85.0,82.0,93.0,85.0,82.0,93.0,85.0,82.0,93.0,85.0,82.0,93.0,85.0,82.0,93.0,85.0,82.0,93.0,85.0,82.0,93.0,85.0,,,,,,,,,,,,,,,
Yemen,38.0,71.0,49.0,38.0,71.0,49.0,38.0,71.0,49.0,38.0,71.0,48.0,38.0,71.0,48.0,38.0,71.0,48.0,38.0,71.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zambia,5.0,26.0,14.0,5.0,26.0,13.0,5.0,26.0,13.0,5.0,26.0,13.0,5.0,26.0,13.0,5.0,26.0,13.0,5.0,26.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zimbabwe,24.0,46.0,31.0,24.0,46.0,31.0,24.0,46.0,31.0,24.0,46.0,31.0,24.0,46.0,31.0,24.0,46.0,31.0,24.0,46.0,31.0,24.0,46.0,31.0,24.0,46.0,31.0,24.0,46.0,31.0,24.0,46.0,31.0,,,,,,,,,,,,,,,
